3,2
2,51
10,53
7,71
1,69
8,58
3,73
5,63
2,51
2,58
9,25
2,1
6,80
5,56
7,78
3,64
1,45
7,75
1,12
5,59
9,56
3,81
4,65
10,67
2,74
7,54
9,92
7,39
1,66
9,91
5,27
4,82
1,42
9,43
10,97
1,100
5,82
5,8
9,41
3,81
3,63
1,36
5,4
3,38
2,39
3,22
4,46
2,51
5,38
9,88
5,61
8,75
4,84
6,80
9,93
1,89
5,50
10,38
9,18
6,27
10,94
10,7
5,5
4,99
6,55
1,96
2,89
5,94
2,90
10,17
8,12
8,38
2,90
1,41
9,17
6,26
2,6
7,63
10,3
6,65
2,68
8,75
3,73
6,5
1,75
7,65
3,38
7,26
9,4
1,100
10,52
3,14
5,53
3,80
5,90
5,56
2,15
8,43
3,10
3,19
7,59
1,63
10,41
9,11
3,54
8,99
8,96
1,26
8,68
1,50
1,7
9,17
5,26
3,39
7,23
10,69
5,9
3,43
4,24
2,51
2,30
7,22
3,34
10,64
6,16
2,23
8,51
5,32
8,82
4,70
4,10
6,89
10,85
4,49
5,50
9,60
5,73
5,60
3,69
4,43
4,91
2,97
8,67
6,46
2,98
9,69
3,13
1,19
3,100
10,82
8,99
7,100
7,21
9,37
10,59
8,61
1,46
8,20
2,63
1,14
8,23
7,87
10,20
4,36
2,7
10,72
1,45
3,91
10,73
10,61
6,76
9,87
9,39
3,27
4,54
7,78
1,81
5,9
5,85
7,6
2,14
8,72
9,58
10,45
6,87
6,1
10,91
5,81
6,13
8,97
1,23
7,62
5,21
7,90
9,73
2,70
9,22
7,83
8,34
7,28
5,100
7,91
4,84
7,40
6,90
6,36
4,19
6,98
8,2
10,22
3,38
3,43
6,85
3,94
7,51
5,51
4,69
7,54
5,80
5,57
7,5
9,86
4,65
10,74
9,96
7,23
2,13
5,50
5,2
3,58
1,42
6,74
10,43
4,57
1,5
8,24
10,50
7,58
6,8
5,9
8,27
5,54
9,42
9,76
1,27
1,85
4,4
7,49
4,54
2,87
3,76
10,40
10,50
1,91
2,76
3,52
7,19
7,54
10,16
9,48
5,9
4,62
4,24
5,77
6,42
2,52
5,7
10,63
5,67
10,34
8,77
8,4
7,84
2,6
1,56
2,42
5,54
5,1
9,32
1,97
9,93
5,9
8,47
2,69
8,23
2,54
10,11
2,69
7,26
3,29
8,2
10,12
5,12
4,10
4,83
6,96
6,11
2,17
9,35
5,52
7,52
10,73
6,10
10,27
4,74
2,90
7,42
10,43
7,92
6,87
3,56
7,46
9,13
9,11
1,91
3,36
3,71
10,21
4,10
4,32
5,37
4,45
6,53
9,34
6,99
1,41
